block,part,policy,metric,mean
heldout_32M_precorrection,A_scripted_primary,reactive,longest_unaided_gap_s,49.31428571428572
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,mode_switches,0.0
heldout_32M_precorrection,A_scripted_primary,fixed,mode_switches,0.0
heldout_32M_precorrection,A_scripted_primary,reactive,mode_switches,7.485714285714286
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,optical_fixes,14.628571428571428
heldout_32M_precorrection,A_scripted_primary,fixed,optical_fixes,14.633333333333333
heldout_32M_precorrection,A_scripted_primary,reactive,optical_fixes,14.60952380952381
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,overall_rmse_m,0.5709837288639605
heldout_32M_precorrection,A_scripted_primary,fixed,overall_rmse_m,1.0014789617912663
heldout_32M_precorrection,A_scripted_primary,reactive,overall_rmse_m,0.5640302706020597
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,peak_error_m,1.49542319056048
heldout_32M_precorrection,A_scripted_primary,fixed,peak_error_m,2.265236238843715
heldout_32M_precorrection,A_scripted_primary,reactive,peak_error_m,1.47824569354656
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,physical_interventions,0.0
heldout_32M_precorrection,A_scripted_primary,fixed,physical_interventions,0.0
heldout_32M_precorrection,A_scripted_primary,reactive,physical_interventions,1.4285714285714286
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,rmse_transition_m,0.6567785083923111
heldout_32M_precorrection,A_scripted_primary,fixed,rmse_transition_m,1.1609343262641367
heldout_32M_precorrection,A_scripted_primary,reactive,rmse_transition_m,0.6472982160449465
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,safety_violation,0.0
heldout_32M_precorrection,A_scripted_primary,fixed,safety_violation,0.0
heldout_32M_precorrection,A_scripted_primary,reactive,safety_violation,0.0
heldout_32M_precorrection,A_scripted_primary,deployment_fixed,survey_coverage_fraction,1.0
heldout_32M_precorrection,A_scripted_primary,fixed,survey_coverage_fraction,1.0
heldout_32M_precorrection,A_scripted_primary,reactive,survey_coverage_fraction,1.0
