aiding_availability,channel_switches,completed,coverage_fraction,detection_latency_s,dwell_s,elapsed_s,false_alarms,max_cross_track_m,mean_altitude_m,mode_transitions,p95_position_error_m,path_length_m,path_overhead,policy,rms_cross_track_m,rms_position_error_m,safety_violations,scenario,seed,surfaced,surfacing_commanded,swath_coverage,terminal_error_m,waypoints_captured,waypoints_surveyed,waypoints_total
0.4665271966527197,0,True,1.0,,4.0,191.19999999999342,1,0.24317251964340203,2.998987210425935,1,0.30490192259718946,95.16671936208617,-0.028911026917488036,proposed,0.08392148285692815,0.17468338253237048,0,E1_nominal,20001000,False,False,0.9996624034753117,0.09834536851833692,8,8,8
0.7201882845188284,0,True,1.0,,4.0,191.19999999999342,1,0.2615492008115794,2.9994970914962336,1,0.1514351591780884,94.78285039587642,-0.03282805718493442,proposed,0.08030649724266771,0.10194280378415163,0,E1_nominal,20001001,False,False,0.9998323638320779,0.12140060036527232,8,8,8
0.9465408805031447,0,True,1.0,,4.0,190.79999999999345,1,0.22084467443099243,2.9987219273058323,1,0.0953437647235419,94.68714345647457,-0.03380465860740234,proposed,0.07653887603128388,0.06627616401929003,0,E1_nominal,20001002,False,False,0.9995739757686107,0.04616589641535488,8,8,8
0.68,0,True,1.0,,4.0,189.9999999999935,1,0.28545540665041,3.0000792914313923,1,0.24063182762588706,94.50820895583357,-0.03563052085884111,proposed,0.06487055842923825,0.10993884883401572,0,E1_nominal,20001003,False,False,1.0000264304771307,0.11450877199697079,8,8,8
0.6334556895647614,0,True,1.0,,4.0,190.69999999999345,1,0.24310039387186144,2.9983884764561197,1,0.26378527978270244,94.67754141399593,-0.033902638632694604,proposed,0.06709405245486626,0.12307901275188456,0,E1_nominal,20001004,False,False,0.9994628254853732,0.15782081305173665,8,8,8
0.9277044854881267,0,True,1.0,,4.0,189.49999999999352,1,0.24091168270646524,3.002126687696504,1,0.09947063647197393,94.43662748333041,-0.03636094404764889,proposed,0.08643311926319702,0.05306353898129909,0,E1_nominal,20001005,False,False,1.0007088958988346,0.012635075390916095,8,8,8
0.8689295039164491,0,True,1.0,,4.0,191.4999999999934,1,0.1715642823850363,3.001208953331754,1,0.11532496469514776,95.11296126435084,-0.029459578935195463,proposed,0.06166462585365568,0.09077377709077691,0,E1_nominal,20001006,False,False,1.000402984443918,0.0929652136469625,8,8,8
0.912906610703043,0,True,1.0,,4.0,190.59999999999346,1,0.20949959373828264,3.0003592277419626,1,0.11639747915052233,94.72134314644607,-0.03345568217912165,proposed,0.07424155962570075,0.07020992087311673,0,E1_nominal,20001007,False,False,1.0001197425806543,0.0732798886504153,8,8,8
0.44251054852320676,0,True,1.0,,4.0,189.5999999999935,1,0.3884105982249664,2.9990626742692834,1,0.2266771286899405,94.4367583742994,-0.03635960842551633,proposed,0.12098952075076785,0.13830144526763552,0,E1_nominal,20001008,False,False,0.9996875580897612,0.20564209090673596,8,8,8
0.9558591697320021,0,True,1.0,,4.0,190.29999999999347,1,0.2190393804350279,2.9981026237222648,1,0.0870344694333836,94.6650807179678,-0.03402978859216532,proposed,0.07842864009575239,0.05914943266811463,0,E1_nominal,20001009,False,False,0.9993675412407549,0.03188366073177985,8,8,8
0.553058024046001,0,True,1.0,0.5000000000005898,4.0,191.29999999999342,2,0.20142058483215086,2.9974428884712467,3,0.2756852488945487,95.02679791323203,-0.03033879680375484,proposed,0.058624133302619286,0.15662299369915103,0,E2_dvl_short,20001000,False,False,0.9991476294904156,0.1306169371522013,8,8,8
0.8253801782905087,0,True,1.0,0.5000000000005898,4.0,190.69999999999345,2,0.21521312067147536,3.0019624681677692,3,0.13620953389764232,94.67629284793875,-0.03391537910266573,proposed,0.07383378040814641,0.09116261041025246,0,E2_dvl_short,20001001,False,False,1.000654156055923,0.12872382972941446,8,8,8
0.9432475039411455,0,True,1.0,0.5000000000005898,4.0,190.29999999999347,2,0.22084467443099243,2.9995235547087526,3,0.10275271589664264,94.6233917658512,-0.03445518606274289,proposed,0.07321778613647036,0.0681374221446238,0,E2_dvl_short,20001002,False,False,0.9998411849029175,0.053427508290227625,8,8,8
