scenario,policy,seed,mode_transitions,channel_switches,detection_latency_s,false_alarms,surfacing_commanded,surfaced,completed,waypoints_captured,waypoints_surveyed,waypoints_total,coverage_fraction,elapsed_s,rms_cross_track_m,max_cross_track_m,safety_violations,path_length_m,path_overhead,mean_altitude_m,swath_coverage,terminal_error_m,aiding_availability,rms_position_error_m,p95_position_error_m
E10_current_steady,ablation_a1,20001000,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.09255571427906009,0.21805946865678338,0,95.21743789757797,-0.028393490841041147,2.998989718271183,0.9996632394237276,0.09737977880125379,0.46548117154811713,0.17471240906492175,0.3049861302489444
E10_current_steady,ablation_a2,20001000,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.09255571427906009,0.21805946865678338,0,95.21743789757797,-0.028393490841041147,2.998989718271183,0.9996632394237276,0.09737977880125379,0.46548117154811713,0.17471240906492175,0.3049861302489444
E10_current_steady,covariance_only,20001000,0,0,,0,False,False,True,8,8,8,1.0,190.89999999999344,0.08913362930991281,0.3132467967493322,0,95.06737533481383,-0.02992474148149149,2.99906841987373,0.9996894732912432,0.2402061289719029,0.998952331063384,0.1855490010543851,0.2798099217871475
E10_current_steady,dead_reckoning,20001000,0,0,,0,False,False,True,8,8,8,1.0,191.5999999999934,0.2104844644399969,0.3255027848659928,0,95.42282102850744,-0.02629774460706691,2.9990741541931496,0.9996913847310499,0.3435239387193984,0.0005219206680584551,0.319639066888505,0.49431207040813346
E10_current_steady,fixed,20001000,0,1,,0,False,False,True,8,8,8,1.0,378.80000000001763,0.08688968925882883,0.28165751076179424,0,94.46691002892265,-0.03605193848038102,2.9998447096805982,0.9999482365601994,0.15665550972004727,0.7243928194297783,0.12293043450775612,0.17931600998140002
E10_current_steady,oracle,20001000,0,1,,0,False,False,True,8,8,8,1.0,378.7000000000176,0.05950052983029412,0.28624152488824706,0,95.21946822440681,-0.02837277322033871,1.0193791457335586,0.33979304857785286,0.019878806322171864,1.0,0.03010002296351956,0.036414811719793556
E10_current_steady,proposed,20001000,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.09255571427906009,0.21805946865678338,0,95.21743789757797,-0.028393490841041147,2.998989718271183,0.9996632394237276,0.09737977880125379,0.46548117154811713,0.17471240906492175,0.3049861302489444
E10_current_steady,residual_only,20001000,0,0,,0,False,False,True,8,8,8,1.0,191.19999999999342,0.09255571427906009,0.21805946865678338,0,95.21743789757797,-0.028393490841041147,2.998989718271183,0.9996632394237276,0.09737977880125379,0.46548117154811713,0.17471240906492175,0.3049861302489444
E10_current_steady,ablation_a1,20001001,1,0,,1,False,False,True,8,8,8,1.0,190.99999999999343,0.07780110851356795,0.2710243443410043,0,94.72289152053551,-0.033439882443515145,2.999499360176214,0.9998331200587379,0.12008597552241768,0.7198952879581152,0.10209578933324989,0.15272179036470296
E10_current_steady,ablation_a2,20001001,1,0,,1,False,False,True,8,8,8,1.0,190.99999999999343,0.07780110851356795,0.2710243443410043,0,94.72289152053551,-0.033439882443515145,2.999499360176214,0.9998331200587379,0.12008597552241768,0.7198952879581152,0.10209578933324989,0.15272179036470296
E10_current_steady,covariance_only,20001001,0,0,,0,False,False,True,8,8,8,1.0,191.4999999999934,0.0637473690797801,0.25014484511006874,0,94.98790809369584,-0.030735631696981236,2.9994385110317205,0.9998128370105736,0.16712228250622838,0.9994778067885117,0.13452372502155846,0.20254046721414706
E10_current_steady,dead_reckoning,20001001,0,0,,0,False,False,True,8,8,8,1.0,191.7999999999934,0.14051645736491972,0.21007955808966194,0,95.14080221568018,-0.029175487595100136,2.9994281209162867,0.9998093736387622,0.22213102077231778,0.0005213764337851929,0.2330766824066187,0.3579447220798344
E10_current_steady,fixed,20001001,0,1,,0,False,False,True,8,8,8,1.0,378.7000000000176,0.0810380979566555,0.2726719669020694,0,94.49647915047663,-0.035750212750238486,3.0012387864240537,1.000412928808018,0.11409939744234375,0.7272247161341431,0.08347885820811997,0.11729877663931085
E10_current_steady,oracle,20001001,0,0,,0,False,False,True,8,8,8,1.0,191.4999999999934,0.05406286643047272,0.32997001709682294,0,95.64671801819412,-0.024013081446998763,1.0365828419026042,0.34552761396753473,0.3074420872673398,0.07415143603133159,0.19542163659948883,0.31110876512094576
E10_current_steady,proposed,20001001,1,0,,1,False,False,True,8,8,8,1.0,190.99999999999343,0.07780110851356795,0.2710243443410043,0,94.72289152053551,-0.033439882443515145,2.999499360176214,0.9998331200587379,0.12008597552241768,0.7198952879581152,0.10209578933324989,0.15272179036470296
E10_current_steady,residual_only,20001001,0,0,,0,False,False,True,8,8,8,1.0,190.99999999999343,0.07780110851356795,0.2710243443410043,0,94.72289152053551,-0.033439882443515145,2.999499360176214,0.9998331200587379,0.12008597552241768,0.7198952879581152,0.10209578933324989,0.15272179036470296
E10_current_steady,ablation_a1,20001002,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.0713845435263637,0.19077381353274125,0,94.70139288019445,-0.03365925632454647,2.9987219272837735,0.9995739757612578,0.044896415626285845,0.9465408805031447,0.06628851315705875,0.09544242488752308
E10_current_steady,ablation_a2,20001002,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.0713845435263637,0.19077381353274125,0,94.70139288019445,-0.03365925632454647,2.9987219272837735,0.9995739757612578,0.044896415626285845,0.9465408805031447,0.06628851315705875,0.09544242488752308
E10_current_steady,covariance_only,20001002,0,0,,0,False,False,True,8,8,8,1.0,190.69999999999345,0.0734409330468121,0.22738493619441646,0,94.6707301010447,-0.03397214182607455,2.998748623853957,0.9995828746179857,0.08693245593227251,0.9979024646040902,0.08821604759068832,0.12321612824747123
E10_current_steady,dead_reckoning,20001002,0,0,,0,False,False,True,8,8,8,1.0,191.09999999999343,0.08068305933210197,0.13203332127425726,0,94.86657703836269,-0.0319737036901766,2.9987525026642854,0.9995841675547618,0.1301362657217544,0.0005232862375719519,0.16117401966565206,0.23530456970396912
E10_current_steady,fixed,20001002,0,1,,0,False,False,True,8,8,8,1.0,378.7000000000176,0.09716789145257804,0.2574299223620242,0,94.41882151034764,-0.03654263764951382,2.998989850307058,0.999663283435686,0.05090958201745253,0.7475574333245313,0.04270314292724514,0.0662177183362097
E10_current_steady,oracle,20001002,0,1,,0,False,False,True,8,8,8,1.0,190.69999999999345,0.06152086885429054,0.19257657380979865,0,95.16323899648589,-0.028946540852184843,1.0412663186534958,0.34708877288449863,0.032222347540938764,1.0,0.05248901203260611,0.06787566236315862
E10_current_steady,proposed,20001002,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.0713845435263637,0.19077381353274125,0,94.70139288019445,-0.03365925632454647,2.9987219272837735,0.9995739757612578,0.044896415626285845,0.9465408805031447,0.06628851315705875,0.09544242488752308
E10_current_steady,residual_only,20001002,0,0,,0,False,False,True,8,8,8,1.0,190.79999999999345,0.0713845435263637,0.19077381353274125,0,94.70139288019445,-0.03365925632454647,2.9987219272837735,0.9995739757612578,0.044896415626285845,0.9465408805031447,0.06628851315705875,0.09544242488752308
