acoustic_infrastructure_cost,aiding_availability,channel_switches,completed,coverage_fraction,detection_latency_s,elapsed_s,false_alarms,max_cross_track_m,mean_altitude_m,mode_transitions,p95_position_error_m,path_length_m,path_overhead,policy,rms_cross_track_m,rms_position_error_m,safety_violations,scenario,seed,surfaced,surfacing_commanded,swath_coverage,terminal_error_m,waypoints_captured,waypoints_surveyed,waypoints_total
0.1499737463901286,0.17038592806510897,1,True,1.0,,380.9000000000181,0,0.6242883154291743,1.0201237907929097,0,0.6524387894328197,95.90372686199488,-0.021390542224541953,camera_coaxial+lbl@1.0m/0.25mps/gate/continue,0.2466414368499493,0.40811332532289046,0,E10_current_steady,20801000,False,False,0.3400412635976366,0.7319607010643867,8,8,8
0.14997364259356877,0.9826041117554033,1,True,1.0,,379.40000000001777,0,0.27220666012491623,1.020616435521966,0,0.04177884310565017,95.31647334477164,-0.027382925053350604,camera_coaxial+lbl@1.0m/0.25mps/weight/continue,0.07862787556348556,0.034854309244750234,0,E10_current_steady,20801000,False,False,0.340205478507322,0.022520085086193454,8,8,8
0.14994799791991678,0.037961518460738426,1,True,1.0,,192.29999999999336,0,0.399238036403732,1.0413580037303596,0,0.5828420344633497,96.14273897689385,-0.018951643092919856,camera_coaxial+lbl@1.0m/0.50mps/gate/continue,0.2067815802742742,0.37577506471193833,0,E10_current_steady,20801000,False,False,0.3471193345767865,0.5032636517364598,8,8,8
0.14994764397905758,0.9801047120418848,1,True,1.0,,190.99999999999343,0,0.2555009739048404,1.0412065425365464,0,0.23213486231308456,95.43237200250769,-0.026200285688697034,camera_coaxial+lbl@1.0m/0.50mps/weight/continue,0.09463802858654495,0.13334938434112376,0,E10_current_steady,20801000,False,False,0.34706884751218214,0.17470828025433657,8,8,8
0.14997371188222922,0.20872765509989485,1,True,1.0,,380.400000000018,0,0.6094950627742781,2.00615780128555,0,0.5346046427391393,95.31345472457012,-0.02741372730030489,camera_coaxial+lbl@2.0m/0.25mps/gate/continue,0.22936350422638116,0.32068603288665515,0,E10_current_steady,20801000,False,False,0.6687192670951833,0.6150221110051823,8,8,8
0.14997357992073973,0.9381770145310436,1,True,1.0,,378.50000000001756,0,0.21855805822401075,2.006525633884614,0,0.08169666030804304,94.79114262837199,-0.03274344256763284,camera_coaxial+lbl@2.0m/0.25mps/weight/continue,0.07075778814673991,0.0640212894520238,0,E10_current_steady,20801000,False,False,0.668841877961538,0.05954612934615418,8,8,8
0.14994791666666665,0.07447916666666667,1,True,1.0,,191.99999999999338,0,0.4016495842643266,2.0113843515394207,0,0.5369691526921738,95.81861920093706,-0.022258987745540137,camera_coaxial+lbl@2.0m/0.50mps/gate/continue,0.16127113387663605,0.3437314183541728,0,E10_current_steady,20801000,False,False,0.6704614505131402,0.5008338347522434,8,8,8
0.14994756161510223,0.9370739381227058,1,True,1.0,,190.69999999999345,0,0.22330296536956284,2.0118922247230273,0,0.21540797853108667,95.12493808005212,-0.029337366530080455,camera_coaxial+lbl@2.0m/0.50mps/weight/continue,0.08653263987388975,0.1423875525000808,0,E10_current_steady,20801000,False,False,0.6706307415743424,0.19396176141152488,8,8,8
0.14997365648050578,0.6828240252897787,1,True,1.0,,379.6000000000178,0,0.3168863651967624,3.0000467116312715,0,0.22055772977503751,94.85046589918174,-0.0321381030695741,camera_coaxial+lbl@3.0m/0.25mps/gate/continue,0.09519893406864517,0.15685354831810583,0,E10_current_steady,20801000,False,False,1.0000155705437572,0.21962425960741372,8,8,8
0.14997367035281725,0.765666140073723,1,True,1.0,,379.80000000001786,0,0.27746938768511065,3.0000834974991597,0,0.20152331148863298,94.82539840440879,-0.032393893832563414,camera_coaxial+lbl@3.0m/0.25mps/weight/continue,0.09511089903851104,0.14410674220263764,0,E10_current_steady,20801000,False,False,1.0000278324997198,0.19808006349057553,8,8,8
