scenario,policy,seed,mode_transitions,channel_switches,detection_latency_s,false_alarms,surfacing_commanded,surfaced,completed,waypoints_captured,waypoints_surveyed,waypoints_total,coverage_fraction,elapsed_s,rms_cross_track_m,max_cross_track_m,safety_violations,path_length_m,path_overhead,mean_altitude_m,swath_coverage,terminal_error_m,aiding_availability,rms_position_error_m,p95_position_error_m
E10_current_steady,ablation_a1,20401000,1,0,,1,False,False,True,8,8,8,1.0,190.99999999999343,0.218123643989197,0.560832493514491,0,95.11272994901319,-0.02946193929578378,3.000598755331879,1.0001995851106262,0.6124841152332172,0.1094240837696335,0.4696798077612056,0.7351174514021014
E10_current_steady,ablation_a2,20401000,1,0,,1,False,False,True,8,8,8,1.0,190.99999999999343,0.218123643989197,0.560832493514491,0,95.11272994901319,-0.02946193929578378,3.000598755331879,1.0001995851106262,0.6124841152332172,0.1094240837696335,0.4696798077612056,0.7351174514021014
E10_current_steady,covariance_only,20401000,0,0,,0,False,False,True,8,8,8,1.0,190.39999999999347,0.1337723433242444,0.3812785796165783,0,94.8104823883498,-0.0325460980780633,3.000605534195206,1.0002018447317353,0.3746470693318614,0.9994747899159664,0.2804623667872673,0.40945440303215164
E10_current_steady,dead_reckoning,20401000,0,0,,0,False,False,True,8,8,8,1.0,190.99999999999343,0.3581565490263524,0.5550280861222152,0,95.11415396399151,-0.029447408530698826,3.000588922021884,1.0001963073406281,0.5926294006765948,0.0005235602094240838,0.5584776568530815,0.838843265448648
E10_current_steady,fixed,20401000,0,1,,0,False,False,True,8,8,8,1.0,376.60000000001713,0.12319017619558685,0.3286737768600072,0,94.08193770722312,-0.03998022747731511,3.000896739678523,1.0002989132261744,0.248937760594332,0.7644715878916623,0.1835602019038712,0.2562986153028002
E10_current_steady,oracle,20401000,0,1,,0,False,False,True,8,8,8,1.0,377.9000000000174,0.060484637688311686,0.26366088024387935,0,95.18130215179285,-0.02876222294088926,1.0200932706070514,0.34003109020235045,0.024301888215675537,1.0,0.041412369642016694,0.06873842819745964
E10_current_steady,proposed,20401000,1,0,,1,False,False,True,8,8,8,1.0,190.99999999999343,0.218123643989197,0.560832493514491,0,95.11272994901319,-0.02946193929578378,3.000598755331879,1.0001995851106262,0.6124841152332172,0.1094240837696335,0.4696798077612056,0.7351174514021014
E10_current_steady,residual_only,20401000,0,0,,0,False,False,True,8,8,8,1.0,190.99999999999343,0.218123643989197,0.560832493514491,0,95.11272994901319,-0.02946193929578378,3.000598755331879,1.0001995851106262,0.6124841152332172,0.1094240837696335,0.4696798077612056,0.7351174514021014
E10_current_steady,ablation_a1,20401001,1,1,,1,False,False,True,8,8,8,1.0,191.5999999999934,0.07955331242194649,0.25465771641601576,0,95.12568567731412,-0.029329737986590554,2.9981800185077923,0.9993933395025975,0.2302018968109978,0.5005219206680585,0.14501340332346913,0.2791082687276372
E10_current_steady,ablation_a2,20401001,1,0,,1,False,False,True,8,8,8,1.0,191.5999999999934,0.06961881958244648,0.20156143445645824,0,95.24897799489736,-0.028071653113292294,2.9989766206829818,0.9996588735609939,0.19040395699955637,0.6080375782881002,0.13314939429398764,0.26941230662503307
E10_current_steady,covariance_only,20401001,0,0,,0,False,False,True,8,8,8,1.0,191.6999999999934,0.09299534435236213,0.2683521261573172,0,95.11977357306814,-0.029390065580937264,2.999472460719489,0.999824153573163,0.1570299961901652,0.9994783515910276,0.13220160048236343,0.23983874709331796
E10_current_steady,dead_reckoning,20401001,0,0,,0,False,False,True,8,8,8,1.0,191.7999999999934,0.19126536020942916,0.44468610008682674,0,95.16728563337655,-0.02890524863901478,2.9994680776526974,0.9998226925508992,0.24559037716217072,0.0005213764337851929,0.2464731945924446,0.3621159682704298
E10_current_steady,fixed,20401001,0,1,,0,False,False,True,8,8,8,1.0,381.3000000000182,0.10458093456349553,0.2774703507131573,0,94.82995496892737,-0.03234739827625133,2.9997398746975215,0.9999132915658405,0.11648713175730459,0.7770784159454498,0.09024867326402118,0.13531454150338584
