scenario,policy,seed,mode_transitions,channel_switches,detection_latency_s,false_alarms,surfacing_commanded,surfaced,completed,waypoints_captured,waypoints_surveyed,waypoints_total,coverage_fraction,elapsed_s,rms_cross_track_m,max_cross_track_m,safety_violations,path_length_m,path_overhead,mean_altitude_m,acoustic_infrastructure_cost,swath_coverage,terminal_error_m,aiding_availability,rms_position_error_m,p95_position_error_m
E10_current_steady,camera_coaxial+lbl@1.0m/0.25mps/gate/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,379.6000000000178,0.2267257512804368,0.5710427312367767,0,95.61380967064706,-0.02434888091176468,1.0194630613702893,0.14997365648050578,0.3398210204567631,0.5745723711914933,0.18888303477344573,0.31389203677231664,0.5210867530822982
E10_current_steady,camera_coaxial+lbl@1.0m/0.25mps/weight/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,378.80000000001763,0.07279008670567978,0.2375147235848747,0,95.29903832228113,-0.027560833446110822,1.0197559000989749,0.14997360084477293,0.33991863336632494,0.020751273435748948,0.9852164730728616,0.030915164280291455,0.03827318614226175
E10_current_steady,camera_coaxial+lbl@1.0m/0.50mps/gate/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,192.09999999999337,0.12921475788430595,0.3533791734926641,0,95.86329872408976,-0.02180307424398209,1.0385666221336765,0.1499479437792816,0.34618887404455884,0.389327094654885,0.039042165538781884,0.2872136295365568,0.4473199788631393
E10_current_steady,camera_coaxial+lbl@1.0m/0.50mps/weight/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,191.09999999999343,0.08896849084058235,0.21113738342007426,0,95.3223021101205,-0.02732344785591323,1.0388430972912561,0.1499476713762428,0.3462810324304187,0.0859511400120575,0.9848246991104134,0.08945621330692174,0.1403935606090866
E10_current_steady,camera_coaxial+lbl@2.0m/0.25mps/gate/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,378.90000000001766,0.16186190050722193,0.46773660961631025,0,94.85063552645738,-0.032136372179006334,2.0060597285424273,0.14997360781208757,0.6686865761808091,0.08648496830357073,0.527579836368435,0.12104531205214154,0.24998828878716914
E10_current_steady,camera_coaxial+lbl@2.0m/0.25mps/weight/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,378.6000000000176,0.09746964625378891,0.2376942807015805,0,94.76833294427234,-0.03297619444620059,2.005893860296289,0.14997358689910192,0.6686312867654296,0.0470769145881869,0.9442683571051241,0.05114998068327506,0.06503380685935549
E10_current_steady,camera_coaxial+lbl@2.0m/0.50mps/gate/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,191.5999999999934,0.08954178314824521,0.38428901947340677,0,95.39300990819146,-0.026601939712332046,2.0114702612655933,0.14994780793319412,0.6704900870885311,0.40854388492998417,0.10594989561586639,0.25659901303323784,0.40819473257436556
E10_current_steady,camera_coaxial+lbl@2.0m/0.50mps/weight/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,190.89999999999344,0.08457718312391996,0.1768041756094445,0,94.98511374229128,-0.030764145486823713,2.0113714193738246,0.14994761655316916,0.6704571397912749,0.12360328485674735,0.9455212152959664,0.10686059152217667,0.14649258389371972
E10_current_steady,camera_coaxial+lbl@3.0m/0.25mps/gate/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,377.7000000000174,0.08994021179981752,0.2740690902244456,0,94.37901659117341,-0.03694881029414887,2.999780394582968,0.14997352396081542,0.9999267981943226,0.14672773978091141,0.7235901509134234,0.11957501571719134,0.17450888479895035
E10_current_steady,camera_coaxial+lbl@3.0m/0.25mps/weight/continue,20001000,0,1,,0,False,False,True,8,8,8,1.0,377.9000000000174,0.09384537731942497,0.25664425914479594,0,94.35392265902479,-0.03720487082627766,2.99965722952389,0.14997353797300866,0.9998857431746301,0.1388088150917,0.7785128340830908,0.11122088375190817,0.1585751840847008
