scenario,policy,seed,mode_transitions,channel_switches,detection_latency_s,false_alarms,surfacing_commanded,surfaced,completed,waypoints_captured,waypoints_surveyed,waypoints_total,coverage_fraction,elapsed_s,rms_cross_track_m,max_cross_track_m,safety_violations,path_length_m,path_overhead,mean_altitude_m,acoustic_infrastructure_cost,swath_coverage,terminal_error_m,aiding_availability,rms_position_error_m,p95_position_error_m
E10_current_steady,ablation_a1,20801000,1,0,,1,False,False,True,8,8,8,1.0,192.29999999999336,0.14541416105696078,0.22751542661165658,0,95.74695317697815,-0.02299027370430462,3.0009501319005514,0.05,1.0003167106335171,0.29242452877308656,0.16016640665626625,0.2692874076153153,0.4179543012330909
E10_current_steady,ablation_a2,20801000,1,0,,1,False,False,True,8,8,8,1.0,192.29999999999336,0.14541416105696078,0.22751542661165658,0,95.74695317697815,-0.02299027370430462,3.0009501319005514,0.05,1.0003167106335171,0.29242452877308656,0.16016640665626625,0.2692874076153153,0.4179543012330909
E10_current_steady,covariance_only,20801000,0,0,,0,False,False,True,8,8,8,1.0,191.5999999999934,0.088533113145504,0.27297107853322045,0,95.41097421398024,-0.026418630469589366,3.0009294169317244,0.05,1.0003098056439081,0.29851335627531544,0.9984342379958246,0.2195599929142958,0.31798903499117276
E10_current_steady,dead_reckoning,20801000,0,0,,0,False,False,True,8,8,8,1.0,192.19999999999337,0.27178646540041435,0.4058493356024986,0,95.71224370854435,-0.02334445195362911,3.0009284514755334,0.05000000000000001,1.0003094838251778,0.45524388397416565,0.0005202913631633715,0.4088378244024043,0.6206052574100951
E10_current_steady,fixed,20801000,0,1,,0,False,False,True,8,8,8,1.0,380.20000000001795,0.06615647703732233,0.25303826029514553,0,95.28032326321524,-0.027751803436579237,1.019783535513042,0.14997369805365593,0.339927845171014,0.020798451825585748,1.0,0.03312907329860142,0.03919477095298372
E10_current_steady,oracle,20801000,1,0,,1,False,False,True,8,8,8,1.0,192.29999999999336,0.14541416105696078,0.22751542661165658,0,95.74695317697815,-0.02299027370430462,3.0009501319005514,0.05,1.0003167106335171,0.29242452877308656,0.16016640665626625,0.2692874076153153,0.4179543012330909
E10_current_steady,proposed,20801000,1,0,,1,False,False,True,8,8,8,1.0,192.29999999999336,0.14541416105696078,0.22751542661165658,0,95.74695317697815,-0.02299027370430462,3.0009501319005514,0.05,1.0003167106335171,0.29242452877308656,0.16016640665626625,0.2692874076153153,0.4179543012330909
E10_current_steady,residual_only,20801000,0,0,,0,False,False,True,8,8,8,1.0,192.29999999999336,0.14541416105696078,0.22751542661165658,0,95.74695317697815,-0.02299027370430462,3.0009501319005514,0.05,1.0003167106335171,0.29242452877308656,0.16016640665626625,0.2692874076153153,0.4179543012330909
E10_current_steady,ablation_a1,20801001,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.06539638741224958,0.17954074899904438,0,94.82643566675328,-0.032383309522925674,3.0012567152912064,0.05,1.0004189050970689,0.05296310796560391,0.94916142557652,0.07119245582632772,0.09127246191868715
E10_current_steady,ablation_a2,20801001,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.06539638741224958,0.17954074899904438,0,94.82643566675328,-0.032383309522925674,3.0012567152912064,0.05,1.0004189050970689,0.05296310796560391,0.94916142557652,0.07119245582632772,0.09127246191868715
E10_current_steady,covariance_only,20801001,0,0,,0,False,False,True,8,8,8,1.0,191.09999999999343,0.06022327741656625,0.18314371485483738,0,94.99685237551894,-0.030644363515112794,3.001218943339044,0.05,1.000406314446348,0.07446414728924428,1.0,0.08081021478070256,0.10260864226155608
E10_current_steady,dead_reckoning,20801001,0,0,,0,False,False,True,8,8,8,1.0,191.3999999999934,0.06160966958241014,0.21676129481292117,0,95.1525118392153,-0.029056001640660245,3.001209600550461,0.05000000000000001,1.000403200183487,0.08569523093373468,0.0005224660397074191,0.09469024326319461,0.1446636279236503
E10_current_steady,fixed,20801001,0,1,,0,False,False,True,8,8,8,1.0,379.9000000000179,0.08818831965339664,0.23740379010794932,0,95.3845796692308,-0.026687962558869405,1.0179476844563298,0.14997367728349562,0.3393158948187766,0.017721831213282614,1.0,0.02731389810097905,0.032411848336542835
E10_current_steady,oracle,20801001,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.06539638741224958,0.17954074899904438,0,94.82643566675328,-0.032383309522925674,3.0012567152912064,0.05,1.0004189050970689,0.05296310796560391,0.94916142557652,0.07119245582632772,0.09127246191868715
E10_current_steady,proposed,20801001,1,0,,1,False,False,True,8,8,8,1.0,190.79999999999345,0.06539638741224958,0.17954074899904438,0,94.82643566675328,-0.032383309522925674,3.0012567152912064,0.05,1.0004189050970689,0.05296310796560391,0.94916142557652,0.07119245582632772,0.09127246191868715
E10_current_steady,residual_only,20801001,0,0,,0,False,False,True,8,8,8,1.0,190.79999999999345,0.06539638741224958,0.17954074899904438,0,94.82643566675328,-0.032383309522925674,3.0012567152912064,0.05,1.0004189050970689,0.05296310796560391,0.94916142557652,0.07119245582632772,0.09127246191868715
E10_current_steady,ablation_a1,20801002,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.2976230475672269,0.5920188820339565,0,94.84991109866537,-0.032143764299332966,2.9992943142671726,0.05000000000000001,0.9997647714223908,0.28792781633845627,0.1637029288702929,0.30376143638508246,0.46712878225491317
E10_current_steady,ablation_a2,20801002,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.2976230475672269,0.5920188820339565,0,94.84991109866537,-0.032143764299332966,2.9992943142671726,0.05000000000000001,0.9997647714223908,0.28792781633845627,0.1637029288702929,0.30376143638508246,0.46712878225491317
E10_current_steady,covariance_only,20801002,0,0,,0,False,False,True,8,8,8,1.0,191.19999999999342,0.1327826217950744,0.336509289760933,0,94.84667879616242,-0.03217674697793449,2.9993754633134677,0.05000000000000001,0.9997918211044893,0.24217076225222223,0.9926778242677824,0.1796372386784419,0.3144097140877418
E10_current_steady,dead_reckoning,20801002,0,0,,0,False,False,True,8,8,8,1.0,190.99999999999343,0.35343072739162235,0.6529854985364771,0,94.75040832685578,-0.033159098705553336,2.999284955155365,0.05000000000000001,0.999761651718455,0.3944001309034466,0.0005235602094240838,0.38857156375656404,0.5784791859338907
E10_current_steady,fixed,20801002,0,1,,0,False,False,True,8,8,8,1.0,379.80000000001786,0.12255312838769496,0.2929034458363784,0,95.4537018270281,-0.025982634418080686,1.0194596712597028,0.14997367035281725,0.33981989041990096,0.02078125731400058,1.0,0.03329405188929949,0.04213962611379332
E10_current_steady,oracle,20801002,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.2976230475672269,0.5920188820339565,0,94.84991109866537,-0.032143764299332966,2.9992943142671726,0.05000000000000001,0.9997647714223908,0.28792781633845627,0.1637029288702929,0.30376143638508246,0.46712878225491317
E10_current_steady,proposed,20801002,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.2976230475672269,0.5920188820339565,0,94.84991109866537,-0.032143764299332966,2.9992943142671726,0.05000000000000001,0.9997647714223908,0.28792781633845627,0.1637029288702929,0.30376143638508246,0.46712878225491317
E10_current_steady,residual_only,20801002,0,0,,0,False,False,True,8,8,8,1.0,191.19999999999342,0.2976230475672269,0.5920188820339565,0,94.84991109866537,-0.032143764299332966,2.9992943142671726,0.05000000000000001,0.9997647714223908,0.28792781633845627,0.1637029288702929,0.30376143638508246,0.46712878225491317
E10_current_steady,ablation_a1,20801003,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.057995182436379515,0.17799510541939867,0,94.9361991089442,-0.03126327439852861,3.000065854149175,0.05000000000000001,1.0000219513830584,0.06185812864938221,0.9555439330543933,0.07265596314358244,0.08514227107532862
E10_current_steady,ablation_a2,20801003,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.057995182436379515,0.17799510541939867,0,94.9361991089442,-0.03126327439852861,3.000065854149175,0.05000000000000001,1.0000219513830584,0.06185812864938221,0.9555439330543933,0.07265596314358244,0.08514227107532862
E10_current_steady,covariance_only,20801003,0,0,,0,False,False,True,8,8,8,1.0,191.5999999999934,0.04757283980939978,0.1624807464562572,0,95.16423567356877,-0.028936370677869694,3.000013049865273,0.05,1.000004349955091,0.09198280438808007,0.9994780793319415,0.0841543711656887,0.10525450832015915
E10_current_steady,dead_reckoning,20801003,0,0,,0,False,False,True,8,8,8,1.0,191.7999999999934,0.07374665886576547,0.24631883325746706,0,95.26707649176315,-0.02788697457384537,3.00001393154245,0.05000000000000001,1.0000046438474832,0.010400847578233157,0.0005213764337851929,0.12152376098827669,0.1915269624527481
E10_current_steady,fixed,20801003,0,1,,0,False,False,True,8,8,8,1.0,379.9000000000179,0.09325837099308876,0.2568784216411668,0,95.2704288703063,-0.027852766629527514,1.020736913460817,0.14997367728349562,0.34024563782027234,0.0143736106722778,1.0,0.027943505388692804,0.03176325309560539
E10_current_steady,oracle,20801003,1,0,,1,False,False,True,8,8,8,1.0,191.19999999999342,0.057995182436379515,0.17799510541939867,0,94.9361991089442,-0.03126327439852861,3.000065854149175,0.05000000000000001,1.0000219513830584,0.06185812864938221,0.9555439330543933,0.07265596314358244,0.08514227107532862
